----------聲調符號	----------
平聲	平聲 ꜀
陰平	陰平 ¯ ꜀ ˥
上平聲	上平聲 ¯ ꜀ ˥
陽平	陽平 ˊ ꜁ ˧˥
下平聲	下平聲 ˊ ꜁ ˧˥
上聲	上聲 ˇ ꜂ ˨˩˦
陰上	陰上 ꜂
陽上	陽上 ꜃
去聲	去聲 ˋ ꜄ ˥˩
陰去	陰去 ꜄
陽去	陽去 ꜅
入聲	入聲 ˙ ꜆
陰入	陰入 ꜆
陽入	陽入 ꜇
輕聲	輕聲 ˙ ꜈ ꜉ ꜊ ꜋ ꜌

一麻	一麻 a ia ua
二波	二波 o e uo
三皆	三皆 ie üe
四開	四開 ai uai
五微	五微 ei ui
六豪	六豪 ao iao
七尤	七尤 ou iu iou
八寒	八寒 an ian uan üan
九文	九文 en in un ün
十唐	十唐 ang iang uang
十一庚	十一庚 eng ing ong iong
十二齊	十二齊 i er ü
十三支	十三支 -i 零韵母
十四姑	十四姑 u
